DAYS,RATE
386,0.674
387,0.452
388,0.71
389,0.552
390,0.397
391,0.8782
392,0.6266
393,0.523
394,0.3909
395,0.297
396,0.3374
397,0.3277
398,0.1222
399,0.3021
400,0.1981
401,0.0879
402,0.2179
403,0.3856
404,0.467
405,0.1163
406,0.2107
407,0.0674
408,0.2265
409,0.1399
410,0.1552
411,0.0812
412,0.1376
413,0.209
414,0.0714
415,0.2604
416,0.0527
417,0.1986
418,0.1986
419,0.2148
420,0.0227
421,0.2697
422,1.3323
423,0.1456
424,0.0792
425,0.1975
426,0.0899
427,0.1044
428,0.0531
429,0.179
430,0.032
431,0.3963
432,0.0485
433,0.1624
434,0.1329
435,3.8899
436,0.3909
437,0.6901
438,0.4046
439,0.6804
440,0.2823
441,0.65052
442,0.46386
443,0.3081
444,0.30805
445,0.61823
446,0.70258
447,0.20582
448,1.7678
449,2.87591
450,0.87295
451,0.86115
452,0.52589
453,0.67651
454,0.33429
455,0.88325
456,0.47074
457,0.33785
458,0.88093
459,0.52647
460,0.68547
461,0.52288
462,0.54681
463,0.54137
464,0.42858
465,0.67082
466,0.7663
467,0.65817
468,0.21354
469,0.72336
470,0.62792
471,0.3489
472,0.25661
473,0.06289
474,1.0197
475,0.47908
476,0.76237
477,0.66001
478,0.23185
479,0.26329
480,0.50926
